D,earnings,edu,prevearn
1,228,12,0
0,6636,12,9658
0,1731,9,50
0,1731,12,1100
0,297,11,2000
0,59849,14,3147
0,1065,12,470
1,21498,13,3000
0,29135,9,10000
1,22668,11,0
1,35749,13,4500
0,7800,10,5000
1,8353,11,119
1,0,11,0
0,1392,12,645
0,13849,12,10000
1,54985,12,5868
0,1494,12,3800
1,23814,12,9300
0,0,10,0
0,0,12,0
1,32056,12,11000
1,34399,17,3600
1,56699,12,12000
0,45105,12,3000
1,0,12,0
1,12356,13,3602
0,31348,9,0
0,25181,15,5556
0,55872,11,800
1,927,11,0
1,6904,11,400
0,4794,9,335
1,23531,10,4000
1,41661,14,616
1,2601,12,1000
1,1890,18,0
1,30684,12,10000
0,15743,12,0
0,55754,8,15360
0,13910,16,1560
0,37476,13,6319
1,43237,14,4000
1,3123,10,2000
1,49050,14,0
1,33219,12,600
0,8080,9,0
0,2004,12,0
1,61710,14,5130
1,22563,12,7000
0,17525,11,0
0,108542,17,8000
1,9756,12,2164
0,0,14,1300
1,18231,13,98
0,7497,12,4800
0,8034,12,1489
1,8312,16,8300
1,0,11,9000
1,23909,14,0
1,53769,12,4000
0,0,10,0
1,33809,12,7079
0,34,11,5200
0,26538,17,20000
1,22632,7,900
1,6345,11,509
1,4125,12,0
1,42759,12,3000
1,35167,11,5000
1,11116,12,400
0,17161,10,554
0,31464,11,0
1,54039,12,1200
1,7441,12,0
1,6568,9,10056
1,15537,11,0
1,25833,12,2000
1,0,9,0
0,0,10,0
1,19262,10,0
0,8195,12,2224
1,42888,12,0
1,0,12,3000
0,3434,9,1600
1,64370,12,10000
1,72,12,14305
0,1961,11,1000
1,1300,13,502
0,1538,16,3360
1,36065,12,5550
1,52130,12,10400
1,12481,13,3000
1,712,11,0
1,77815,12,6000
0,2969,12,3500
1,47833,12,2000
0,0,8,0
1,23070,12,2000
0,5154,13,0
1,0,12,3976
1,18259,14,500
1,0,14,6000
1,22788,11,0
1,17719,9,6500
1,5462,12,0
1,93,12,0
0,5076,12,500
0,0,10,0
1,0,12,0
0,17531,12,0
1,19235,12,0
1,30887,9,6000
1,2007,12,600
0,0,10,0
1,27670,9,5500
1,43239,14,2061
1,14018,12,9417
0,16897,11,8000
1,124612,14,1200
1,0,9,0
1,0,11,0
1,34564,13,200
0,49787,17,0
1,3778,11,1800
1,12534,11,600
1,16038,12,5000
1,10623,12,10000
1,11655,13,1200
0,9009,14,3500
1,36432,14,0
0,28353,16,4000
0,22845,12,2200
1,30138,12,1880
0,22424,17,1000
1,12596,12,1855
0,4419,11,0
0,6542,11,1490
1,44151,12,3000
1,0,12,0
1,44131,11,12000
1,10554,12,0
0,7528,12,0
1,42138,9,8500
1,1760,15,90
1,20773,11,800
1,0,14,0
1,7980,12,0
1,4378,12,500
1,0,12,0
1,36224,13,11760
0,69399,14,0
1,24654,12,1000
1,5308,9,100
1,234,13,0
0,0,11,1500
1,13629,12,2200
0,16563,12,22233
0,2538,10,3400
1,2115,12,0
0,16917,12,9747
1,30090,12,8000
0,14039,15,13099
1,9915,12,0
1,84265,13,0
1,990,13,8280
1,1446,9,0
0,15507,11,800
1,2042,11,0
1,10545,11,4616
1,15414,11,0
0,26592,12,0
1,35772,12,1955
1,0,9,1900
1,5376,14,10133
1,54288,12,15600
0,2284,12,10000
1,22911,10,750
0,4174,12,126
1,30537,12,8500
0,157,12,300
0,7794,12,36600
1,43085,13,10000
1,0,12,300
0,3786,11,0
0,5516,9,0
0,23733,8,0
0,12620,12,0
0,1287,12,0
1,10275,8,15600
1,35249,12,7500
1,34614,14,10000
1,20900,8,0
1,0,9,0
1,12324,12,6500
1,25308,10,0
0,37879,9,0
0,26682,11,2500
1,21574,12,300
1,30541,9,7000
1,0,12,200
1,28566,10,3500
0,21879,14,6260
0,38175,11,8000
1,24075,12,13000
1,0,12,0
1,3561,14,75
1,4980,12,2000
1,72000,8,8640
0,25670,14,15000
0,23547,12,6000
0,20553,11,155
1,22415,12,4800
1,4459,11,268
0,36113,13,4600
1,1362,11,1000
1,0,11,2000
1,13806,16,0
0,0,13,75
1,7835,13,9000
1,1818,12,2200
1,7413,8,0
1,0,12,4203
1,23787,12,4726
1,30038,14,6000
0,13600,11,7500
0,32415,12,7500
1,0,12,9000
0,16281,12,1380
1,13815,9,224
0,12510,10,6000
1,40444,11,10400
1,9651,12,3500
1,2577,11,0
1,3990,12,600
1,30888,10,4800
1,7988,12,0
1,1999,12,3350
1,32129,12,7000
1,14040,12,2000
1,38712,15,5000
1,4402,13,0
0,0,11,0
0,6726,11,0
0,26937,12,1200
1,38498,12,5500
0,0,12,98
0,8502,9,0
0,16254,12,2144
0,0,12,0
0,0,14,0
0,6081,11,0
0,57312,9,2100
1,6204,12,0
1,43041,10,0
1,26072,11,1600
0,8736,11,0
1,12471,8,1600
0,453,11,4500
0,6879,13,5109
1,34377,12,3296
1,7294,12,0
1,2775,16,20000
1,38926,13,4000
1,18739,15,0
1,29080,9,2000
0,19737,8,6000
1,423,12,0
1,269,11,892
1,34290,12,0
1,28107,12,0
1,6985,10,0
0,0,14,0
1,45741,16,2000
0,34905,11,2000
1,15920,12,250
0,251,12,1000
1,0,11,0
0,40692,12,2500
0,62451,14,3194
1,45537,14,9000
1,9874,9,883
1,27469,12,5000
1,9425,10,1279
1,24072,12,0
1,43912,11,6512
0,19358,12,4899
1,37505,13,15717
1,384,12,3000
0,0,11,0
1,16233,12,1000
1,0,8,0
1,21,14,350
1,88454,11,8100
0,30630,14,10000
1,69,12,375
0,1725,10,1452
1,11410,11,0
0,12424,10,0
1,2196,9,300
1,67389,8,4800
1,18484,12,36000
0,1528,10,0
0,2073,13,3000
1,25494,13,14000
0,21777,12,0
1,2079,12,1800
0,669,10,5250
0,21549,12,3750
1,3109,12,0
1,6375,13,5000
1,28975,12,14000
1,10638,13,4000
0,2160,11,0
1,8861,17,2674
1,16517,10,1000
1,290,10,0
1,10058,12,15000
0,210,9,2448
1,0,16,200
1,438,12,0
1,0,13,0
1,37071,12,371
1,15038,15,500
1,8004,11,2000
0,1449,12,0
1,39687,15,10000
1,3990,16,5570
1,3985,12,0
0,0,12,0
1,14523,11,6000
0,0,11,550
0,2018,11,0
0,19104,12,0
1,24541,10,4000
1,33368,12,12
1,39,10,522
0,26009,12,3000
1,35559,12,5000
1,30229,12,13000
1,15318,12,1322
1,4470,11,0
1,9481,11,3000
0,16200,12,7395
1,324,8,10000
1,14699,12,1000
1,33497,16,481
0,0,12,0
1,0,11,0
0,7381,12,136
0,3735,12,500
1,1873,10,1440
1,20373,9,18200
1,0,9,0
1,5442,10,0
1,43190,16,18000
1,54335,12,575
0,0,9,0
1,11175,12,3300
0,636,12,1100
1,18489,9,4000
0,31196,12,5000
1,51423,10,10880
1,23409,11,1056
1,33282,10,1200
0,30662,12,12000
1,0,12,0
0,18288,12,7443
1,554,15,7000
1,0,10,0
0,34266,11,8000
1,4606,12,1012
1,26789,14,6240
1,3666,13,0
1,27474,14,950
1,15353,12,1200
1,27,12,4000
1,3999,14,0
1,1320,11,0
1,60,11,275
0,28029,14,1957
1,0,16,0
1,16324,12,1292
0,31035,10,0
1,72244,14,16800
0,66996,12,7149
1,14669,13,1680
1,3051,11,0
1,1086,13,3000
0,3198,14,5650
1,37374,10,341
0,31881,12,0
1,13759,13,8000
0,11961,12,2560
0,2868,12,9000
0,24347,16,3000
0,13266,10,0
0,0,16,2600
1,27417,14,11000
1,4140,9,0
0,63760,10,7000
0,8380,13,1400
1,4204,14,6000
1,24364,14,500
1,11006,10,1500
1,192,13,1200
1,0,14,0
0,4321,12,0
0,23500,12,2000
1,969,14,0
0,0,13,0
0,1533,13,0
1,1230,14,0
1,9369,10,1500
0,0,12,3000
1,30762,13,2980
1,24645,12,8800
1,57732,12,5000
0,0,12,4668
1,54577,12,4900
1,2832,10,1035
1,28528,10,250
0,15939,8,0
0,4005,12,184
1,0,8,5044
1,17382,12,3570
0,37629,16,0
1,2913,10,0
1,34136,11,5400
0,22959,12,2000
0,6282,12,1500
0,33970,8,4500
1,9651,12,0
1,15789,14,122
1,18116,12,1487
1,21233,12,1200
1,52991,10,7000
0,7110,12,400
0,42952,15,12480
1,13785,14,60
1,73054,12,30000
1,43887,12,4500
1,25070,12,0
1,25499,12,3000
0,12093,10,5000
1,0,16,360
0,351,11,197
1,216,12,2800
1,24399,11,5300
0,3423,8,3000
1,4851,11,3000
1,2107,11,3500
1,10970,10,0
1,915,12,0
1,25390,12,6370
1,50328,14,8000
0,23560,11,0
1,23868,12,0
1,54180,17,5100
0,9588,10,0
1,2895,14,5000
1,8207,12,0
0,4476,12,0
0,33180,14,5800
1,7240,12,0
0,24466,12,1000
0,18283,16,6000
0,26049,12,220
1,113,9,0
1,50916,12,23395
1,22080,12,4741
1,0,10,0
1,88174,12,10000
1,38019,14,10584
1,1302,12,120
1,69594,12,11000
0,20711,12,1120
1,3026,9,0
1,25695,8,0
0,443,12,0
0,21091,12,2000
0,8033,17,4200
0,25497,8,14159
1,6933,12,1440
1,24344,11,3200
1,0,12,0
1,75075,12,8500
1,39761,13,10032
1,3030,10,0
1,32112,9,1700
1,8958,12,6754
0,0,9,140
1,7146,9,0
0,13130,12,3500
1,7979,13,0
1,20515,14,2000
1,363,8,0
0,11070,12,4200
1,11520,10,1200
1,3522,12,600
1,17110,11,8000
1,0,12,0
1,666,10,0
1,64173,9,0
1,0,11,0
0,96447,12,20400
1,16120,14,0
1,1941,15,4250
1,35349,12,5200
1,1488,10,3000
0,17848,10,5000
0,25193,14,4000
1,45043,14,3000
1,51131,12,9000
0,38941,16,10500
1,22550,13,900
1,26735,15,8000
0,20409,11,8000
0,9695,12,2900
1,86187,12,15808
1,612,12,0
0,7038,10,8265
1,666,12,0
1,332,12,15000
0,1859,12,0
1,29113,10,5200
1,0,12,0
0,36250,12,12520
1,1365,11,0
1,42501,12,1200
1,29081,13,3000
0,13105,12,750
0,49408,10,600
1,45,9,0
1,15976,14,2600
1,71509,13,10000
0,744,12,5306
0,0,11,1100
0,33206,12,0
1,8730,12,3674
1,15748,12,444
1,0,14,600
0,6786,11,1570
1,255,11,4184
1,1011,15,2000
0,75771,13,9200
1,25537,8,5000
1,0,12,0
1,0,12,0
0,0,11,3000
0,27663,11,6000
1,0,10,600
0,213,11,0
1,5841,11,0
0,9081,11,600
1,34613,12,9000
0,28565,12,10500
1,20625,11,4900
1,7218,13,0
1,6923,10,0
1,3525,12,2240
1,377,12,3000
0,12432,10,2496
0,23187,12,7915
1,0,17,8000
1,11244,17,0
0,2289,7,0
1,9720,15,0
1,4797,11,150
0,1254,11,2400
1,45213,11,4700
0,363,10,60
1,670,12,3359
0,8073,11,472
1,583,11,0
1,16772,10,9200
1,9411,12,7500
1,1470,12,450
0,0,12,6020
1,28753,12,8000
1,2790,12,862
0,35214,11,7336
1,7407,12,0
0,2472,12,3000
1,83,9,140
1,0,14,4000
1,3375,8,3200
1,2199,12,0
1,15479,12,0
0,32943,10,170
1,1776,12,837
0,5371,12,0
0,6423,17,5000
0,18442,13,2000
1,24756,14,30
0,35325,12,1200
1,13255,12,0
0,0,15,0
1,28327,10,3000
1,45971,13,0
1,36760,11,8736
1,789,9,0
0,549,12,1530
0,18828,12,3200
1,5226,12,1642
1,38121,14,7760
1,12461,12,7000
1,5700,9,3000
1,0,8,0
0,8163,8,0
0,3162,12,938
1,0,11,0
0,1701,11,0
0,12607,10,4680
0,0,12,0
1,51170,12,15000
0,32187,12,800
1,45424,10,7000
1,7588,10,4800
1,12549,8,0
1,3314,12,326
1,35406,12,6000
0,35350,9,2000
0,3066,12,0
0,294,8,16639
0,31434,12,0
0,0,8,800
0,52514,8,2700
1,0,8,157
1,0,12,0
1,50088,12,20557
1,41742,12,15000
1,915,12,0
0,22112,12,6000
1,0,12,1300
1,0,12,4800
1,33456,12,5000
1,10374,11,300
0,30181,16,3000
1,5166,12,0
1,41767,12,3000
1,2148,13,0
0,97,15,800
1,4102,9,5450
1,219,9,800
1,90,12,10400
1,0,11,3000
0,30041,9,1880
0,1982,10,0
1,82677,14,0
1,77944,13,11000
1,0,12,3000
1,19414,13,7700
1,90,13,2000
1,20688,8,300
0,7842,13,3640
0,14567,14,2460
1,72468,11,0
0,2908,12,98
1,42982,12,4500
1,1750,12,315
1,3263,8,0
0,16143,10,3500
0,8697,9,0
0,0,14,0
0,13481,12,0
1,22487,14,0
1,1335,17,18000
1,87,12,0
1,0,12,0
1,435,11,1014
0,0,9,1100
1,0,10,0
1,46098,15,20
1,3375,13,0
0,13393,13,6080
1,948,14,3000
1,0,12,0
1,39423,12,7900
1,18925,11,200
0,83,12,350
0,29082,8,0
1,27844,12,6800
1,16629,12,700
0,0,9,300
1,0,12,4000
1,12582,12,100
1,2929,12,6000
0,10530,9,2817
1,65604,12,11200
0,29964,11,6000
0,18663,12,8000
1,19739,16,3000
0,14521,10,340
1,0,12,7200
0,11679,14,4600
0,5387,10,0
1,120,12,0
0,19740,12,260
1,6603,8,0
1,13859,12,2100
1,21840,16,8038
1,2778,14,7198
1,28050,13,4000
1,36600,10,2616
0,9207,12,6000
0,4308,14,0
1,21120,12,98
1,9923,17,500
0,81153,12,12769
0,0,12,2000
1,7378,12,4000
0,22999,12,6682
1,290,12,0
1,36597,16,5200
0,11476,12,1000
1,6759,8,350
1,5697,11,2900
0,0,12,0
1,58848,15,9000
0,27914,12,3360
1,29864,13,3400
1,13198,12,900
1,10885,11,2000
1,19959,9,1700
1,1170,8,200
0,6446,12,0
1,2421,12,1500
1,0,8,0
0,40038,12,98
1,25611,16,0
1,9640,11,12000
0,2658,12,700
0,0,13,300
1,11196,14,0
1,13135,8,2000
0,0,10,0
1,13241,12,8160
0,20691,12,2000
0,38102,11,6400
1,26458,12,0
0,611,13,3800
1,31474,14,5200
0,10765,9,3000
1,44316,13,7800
1,11190,12,6670
0,23878,12,20
1,0,12,0
1,14718,11,2300
1,5082,12,35
1,24830,8,160
1,35137,12,4500
1,22716,9,627
1,22746,10,4000
1,2181,9,0
1,26383,12,5600
1,15203,12,0
1,69459,12,0
0,3195,10,0
1,744,13,600
1,5966,12,3352
0,27726,12,5000
0,7245,9,5000
0,4128,12,0
1,30326,12,0
0,15116,12,360
1,24892,12,11000
0,39228,11,0
1,37708,14,5000
0,16665,12,9550
0,0,12,0
1,2783,8,100
1,29318,12,4800
1,33513,13,5000
1,3008,12,100
1,4384,11,0
0,162,12,10000
1,15813,9,2500
0,53049,12,9749
0,17539,10,360
0,642,12,4028
1,30132,12,3000
0,30,14,0
0,17305,11,1359
0,3060,17,0
1,27092,11,7000
1,45,10,200
1,0,8,0
1,8616,12,0
1,8529,13,0
1,20607,14,3000
1,59349,12,19670
1,47532,9,1373
1,20039,12,15
0,27954,12,200
1,0,9,754
1,0,14,1200
1,20877,13,5000
1,0,12,0
1,9550,12,670
1,201,12,4700
1,5314,12,2080
1,29691,12,0
1,46494,12,1500
1,11703,12,4800
1,11276,14,1000
1,0,12,98
1,27557,12,27746
0,31131,16,360
0,53031,8,9076
1,117,11,4277
1,98,12,0
1,25340,12,7000
1,7407,12,3300
1,210,12,8331
0,20416,12,5680
1,201,9,0
1,6567,12,2000
1,3285,8,0
1,6845,12,0
0,0,11,0
1,4142,11,9000
1,2286,14,2000
1,0,14,0
1,56748,15,4000
1,19096,12,4000
1,2878,8,1600
1,84426,13,15000
1,9916,10,7000
0,11037,12,6000
0,17223,10,4500
1,0,11,4485
1,1643,13,1900
0,0,12,0
1,6845,12,4900
1,7379,16,4000
1,20485,8,0
1,1074,11,0
1,9283,12,5000
1,16590,14,6000
1,11911,14,1100
0,40253,11,140
1,1390,12,1800
1,25021,12,6000
1,6828,9,2500
1,0,9,0
1,45,8,2144
1,10848,12,0
0,34011,13,5200
0,39323,8,8000
1,29640,12,0
0,0,9,3000
0,0,12,14080
0,9837,13,1300
1,1560,11,0
1,43929,16,1660
0,4965,12,0
1,14953,13,900
1,35444,12,10500
0,8907,10,0
1,8913,8,0
0,46243,13,14000
1,0,12,2330
1,33,12,0
1,23541,12,7340
1,3948,10,1300
0,6689,12,2012
1,2901,8,0
1,16320,12,0
0,0,12,0
0,67741,11,5280
1,1484,12,190
1,22080,8,8
1,94715,12,14000
1,0,14,5000
1,37456,12,1600
0,16476,12,0
0,933,17,320
0,57357,13,129
0,12459,12,0
0,15467,10,5000
1,43447,8,9000
1,104,14,3500
1,8487,11,10000
1,6798,12,0
1,0,12,0
0,402,10,0
1,28349,12,299
1,1274,14,16700
1,84,10,0
0,33750,14,7000
0,27805,12,9870
1,24389,10,4000
1,22816,12,0
1,24894,12,14000
0,9078,11,20000
0,8157,12,2900
0,9373,12,3000
0,19707,11,4692
0,17976,13,1000
0,2320,8,2500
1,21705,12,3500
0,0,8,0
1,25483,11,300
0,0,12,8000
1,55296,8,5000
1,3405,12,870
0,0,12,0
1,117,9,0
1,42174,12,3640
0,13173,12,0
1,435,11,3200
1,0,12,0
0,21325,10,1200
0,0,12,7192
1,18393,12,4500
1,4212,10,0
1,2752,9,4300
1,39125,12,4500
0,3433,8,350
1,41820,16,3000
1,544,15,130
0,10353,11,3033
1,484,11,0
0,37641,8,0
1,54109,15,0
0,16648,16,8000
1,1465,12,0
1,21880,11,5000
1,3782,12,900
1,2066,13,0
0,33909,13,84
0,40968,13,3967
1,25551,10,1211
1,0,13,0
0,9800,10,6400
0,16651,10,7150
0,15621,11,8645
0,32901,12,2000
1,0,12,80
1,10885,10,7000
0,23211,12,6000
0,17082,12,1314
0,13305,8,0
0,12663,9,0
1,0,12,6300
1,610,10,1058
1,4704,14,1000
1,0,12,0
1,31440,9,1564
1,21793,12,1651
1,16712,10,390
1,29524,12,4000
0,30306,12,4600
1,36967,12,3060
1,4087,12,0
0,15075,8,400
1,5337,9,2580
1,18823,12,7000
1,39747,10,4700
0,27628,12,0
0,20715,12,0
1,3117,12,0
0,14304,12,6802
1,19065,12,5000
0,9620,12,516
1,17646,14,0
1,3720,18,1400
0,8793,12,5161
1,23757,12,1800
1,19380,13,600
0,0,9,62
0,2447,12,5000
1,10627,10,800
1,13425,8,2400
0,9840,12,3000
1,11793,12,0
1,3435,10,1942
1,22941,9,5385
0,43551,14,9000
1,21726,12,0
1,27138,15,3000
1,17896,13,200
1,3749,11,1729
1,19481,12,9000
1,8231,12,2927
1,77388,8,6000
1,1830,14,10307
1,0,8,104
0,0,8,0
1,53349,12,16800
1,12618,12,0
1,1125,11,800
1,64578,15,8280
1,3967,9,300
1,24938,12,3200
1,162,8,77
1,16743,9,3342
1,44574,12,3000
1,14508,16,2500
1,16735,16,500
1,2621,10,0
0,16692,12,7800
1,5017,12,0
1,20494,12,3000
0,43293,8,9000
1,0,12,0
1,25168,12,5800
1,22375,16,1024
1,34023,9,5022
0,0,12,600
1,5652,12,800
0,2179,12,1100
1,3630,12,300
1,0,14,80
1,0,9,125
1,17081,12,5500
1,2143,12,3000
1,16464,8,3200
0,5172,12,1000
1,28910,12,13000
0,64594,9,20000
1,12861,10,0
0,12861,8,864
0,34215,14,10500
1,37774,8,0
0,22239,10,0
1,7896,10,6390
1,18125,12,6000
1,9395,9,0
1,35925,12,1200
1,9843,12,7000
1,16995,12,4000
0,2502,10,0
1,33927,12,1500
1,162,10,13000
0,5217,10,0
0,0,8,0
1,11010,15,800
1,0,10,0
1,72118,12,8000
1,1530,11,0
1,8193,12,0
1,44522,13,3000
1,3784,9,6000
1,38563,8,2500
1,48243,14,895
1,0,11,0
1,0,8,0
1,14985,13,2200
1,0,16,0
0,4137,8,0
1,13333,9,225
1,12804,12,0
1,20120,9,8000
0,3984,12,0
1,66,10,1000
1,25562,13,3000
0,21042,8,0
1,9823,12,6500
1,32418,12,0
0,25022,10,10000
0,9258,12,0
1,0,12,0
1,15138,12,3912
0,4776,12,1760
1,16632,13,0
0,0,10,2202
0,34721,12,1000
1,8757,10,2160
1,2919,12,0
1,12520,12,7600
0,268,12,297
1,25047,11,4200
1,162,11,0
0,279,12,220
1,4937,12,0
1,7588,12,1000
1,27916,12,425
1,0,12,3204
0,0,18,8500
1,34040,8,5154
1,27809,12,3000
1,42857,12,2500
1,36786,11,0
1,29855,11,1500
1,294,11,3000
1,41892,15,1600
1,10067,8,900
1,0,7,0
1,10135,10,0
0,46623,15,2000
1,23696,11,3000
1,0,8,0
1,5047,11,6039
0,17603,8,0
0,640,12,4600
0,1533,11,500
1,21564,12,4500
1,45276,12,11000
1,23851,13,8000
1,8634,11,5000
0,32942,12,12000
1,18687,12,1500
1,2550,10,0
0,0,12,0
1,2748,12,2700
0,40171,17,11699
1,30993,10,0
1,3242,16,0
1,22513,8,5
1,37502,12,0
0,42515,12,2400
1,14991,14,1900
1,2259,10,0
0,12158,12,0
0,369,11,0
0,19263,13,5000
1,8109,10,2426
1,26563,11,0
1,29283,14,2500
0,11576,11,3000
1,4624,13,400
1,36913,11,11000
0,19659,12,350
1,1182,13,4800
1,21435,13,4000
1,0,12,0
0,47871,10,0
1,6661,12,4186
1,26415,12,1200
1,42021,11,22000
1,2250,11,0
0,15687,17,1700
0,26698,17,12381
0,17598,15,18000
0,16454,10,4400
0,6995,10,0
1,2348,11,570
1,26088,12,6000
0,0,12,0
0,5826,12,2095
1,4365,14,0
1,10872,12,0
1,4839,10,1000
1,0,14,3600
1,41225,12,0
1,4521,10,0
0,22318,13,0
1,3261,12,0
0,19857,11,700
0,6099,9,2536
1,27732,16,4200
1,57149,12,7488
0,30435,12,8000
0,2545,9,999
0,25542,10,0
0,1211,8,6500
1,28417,11,5400
0,15665,12,5600
1,16922,11,5044
1,18154,8,2418
1,48795,14,2868
1,18075,10,0
0,6265,13,0
1,19717,10,3500
1,14982,11,8700
1,21917,12,6000
1,13422,11,0
0,49146,11,10000
1,37421,12,500
1,0,12,6000
1,4378,12,3200
1,0,11,0
1,5439,14,1430
1,8570,14,7000
1,0,12,0
1,42877,15,900
1,14680,8,3300
1,17727,12,400
1,19851,12,4000
0,672,9,1200
1,14754,9,1300
0,711,12,0
1,9166,16,0
0,0,16,14000
1,678,13,0
1,14682,15,1472
1,60730,13,14700
1,38774,13,500
1,30004,9,8000
1,8819,12,2645
1,99,12,3000
1,28762,12,8000
1,62820,13,11980
0,2970,12,0
0,13006,10,465
1,21706,12,8190
1,20415,14,1200
1,1986,12,200
1,26260,11,0
1,1569,10,800
1,22677,8,0
0,648,12,1200
0,93869,14,0
0,486,12,1200
1,0,12,0
1,954,10,1277
1,26346,12,7050
0,0,11,2000
1,20641,11,7000
1,11518,12,8137
0,13722,11,0
0,0,12,0
0,1711,12,0
1,40837,11,850
0,0,12,0
0,8268,14,10400
1,10701,12,90
1,41388,11,4000
0,0,12,0
1,5035,12,0
1,5551,11,400
1,8902,12,3000
0,11286,12,1200
1,35142,10,0
1,10695,15,9323
0,1359,10,300
1,20769,12,6430
0,1452,11,0
1,12340,11,4000
0,49635,11,11531
1,0,8,0
1,17540,12,0
1,65574,11,0
1,2127,12,0
0,19347,13,2000
1,1371,10,5400
1,0,12,165
1,0,12,1375
0,9993,12,0
0,7209,14,0
1,13206,13,1750
1,0,12,0
0,44309,11,1109
0,2746,12,300
0,30158,9,12000
0,4468,9,4232
0,0,12,500
0,48783,16,4990
1,15135,10,1000
0,35796,10,0
1,21801,12,2400
0,13251,12,0
1,23565,12,900
1,5949,12,2600
1,195,10,750
1,36477,12,0
0,65362,12,5000
1,0,12,2800
1,35200,13,8290
0,0,8,0
0,32624,12,30000
0,12050,12,1500
0,0,10,0
0,46633,12,125
0,11619,12,3216
0,19827,12,4595
1,8416,13,0
1,3059,10,3600
1,17669,11,600
0,11612,13,3744
1,2248,10,0
0,2850,10,0
0,20335,13,6900
1,6990,12,1569
0,0,12,15000
1,0,9,0
1,35402,10,0
1,27544,12,0
1,5227,10,3986
1,30687,10,1400
1,18402,10,25
1,5013,12,500
1,6425,12,0
1,16151,11,0
1,10838,12,31
0,11987,12,5600
1,24531,12,6000
1,6879,12,0
1,606,13,4000
1,28479,12,5400
1,13674,12,60
1,13299,12,1720
1,26084,12,0
1,120,8,0
0,15624,13,20000
1,2817,12,421
1,5973,8,0
1,7521,16,13500
1,0,8,18000
1,24899,12,11000
0,23467,14,6000
0,300,11,425
0,4071,11,300
1,6466,16,400
0,12542,12,98
1,8435,12,4251
1,10289,13,1200
0,53353,12,2000
0,18804,12,1200
0,12840,12,250
1,117,12,120
0,14106,12,2988
0,19739,8,2200
0,35548,13,4000
1,0,10,98
1,48344,12,0
0,1047,12,12000
0,17040,12,7000
0,20773,10,7848
0,4288,10,3000
0,1946,11,2500
1,0,14,3200
1,4485,8,4163
1,17339,14,1117
1,31653,14,0
1,9834,12,10027
1,522,13,1000
1,1223,8,120
0,27,12,4697
1,0,11,7800
1,36839,12,0
1,23491,15,800
0,21931,12,8000
0,34539,12,8903
0,0,12,0
0,222,11,0
1,18360,12,500
1,20891,9,0
0,15893,8,0
0,2613,10,2200
0,24600,10,13440
1,0,12,0
1,6634,8,0
1,214,13,2250
1,37272,16,3900
1,28476,11,1750
0,4722,11,5000
0,684,12,6000
0,20118,15,1500
0,3358,11,1684
0,34029,12,7000
0,0,7,0
0,3385,10,110
1,20771,10,3538
0,18702,11,0
0,13314,13,229
0,8431,12,5300
1,12399,15,2666
0,19407,12,10500
1,14445,14,5000
1,13414,13,0
1,2949,10,0
1,45,12,0
1,543,8,0
1,17471,10,850
0,3057,12,5720
0,13749,11,0
1,15176,12,888
0,0,11,0
0,732,12,0
1,21308,12,98
0,463,12,0
1,0,14,133
1,21386,12,6000
1,12,9,0
1,17032,12,0
0,1326,15,600
0,13744,11,7000
1,10878,12,2800
1,0,14,0
0,7660,10,135
1,0,16,7740
1,41773,12,6000
1,33472,12,6000
0,6902,12,98
1,6913,13,8000
1,36785,14,5401
1,17555,15,4800
1,1475,13,5000
0,14475,12,0
1,46800,13,6888
0,18643,9,6000
0,0,12,0
1,5460,12,4593
1,0,11,0
1,11074,12,1186
1,69,15,6000
0,8393,9,2992
0,35784,12,3500
1,13974,12,500
0,1191,10,3000
1,6111,13,4000
0,7805,11,3200
1,0,9,0
1,0,12,0
0,6873,12,3460
1,21619,12,4000
1,12614,12,5000
1,21705,11,200
1,17650,10,0
1,7176,9,6000
1,38271,9,1100
1,8127,10,0
1,42152,12,0
1,11250,10,4200
1,2952,12,0
0,375,9,0
1,9096,8,5000
0,48896,12,1500
1,0,9,0
0,46,12,0
1,13755,12,240
1,693,8,3629
0,6938,12,128
1,50295,12,7900
1,69682,10,3000
0,8572,9,4300
1,33885,15,1500
1,0,11,3800
1,1287,12,3000
1,0,12,0
1,9024,16,360
1,6473,12,2400
1,22683,9,0
1,933,12,5720
0,13011,15,1600
1,4673,12,119
0,14601,12,1500
1,7992,8,3621
1,1182,12,230
1,13683,12,7900
1,6000,12,2500
1,18852,12,600
1,11910,12,0
0,20274,13,109
1,25296,12,9000
1,6615,13,0
0,54386,13,5800
1,47563,16,300
1,59611,13,9812
1,7596,13,17000
1,18694,9,6220
1,1228,16,1500
1,7698,11,98
1,26396,9,11705
1,58230,12,10800
1,0,12,0
0,30279,8,0
1,4827,12,0
1,1286,10,0
1,7757,8,4410
1,556,10,2135
0,18848,8,1624
0,12600,9,4100
0,7461,14,400
1,27967,13,8040
0,0,13,6000
1,13680,12,4000
1,34685,14,7500
0,33846,12,4500
0,0,8,0
0,183,10,1200
1,15117,8,0
1,20636,11,1000
1,25444,11,17000
1,14859,11,112
0,15049,12,0
1,2631,12,0
1,4039,12,0
1,0,11,30
1,17099,12,0
1,1696,11,600
0,5121,12,3850
1,1935,12,1020
1,24804,12,2000
0,0,12,0
1,12556,10,1704
1,0,12,9000
1,2868,11,600
1,3150,9,5720
1,22576,11,3360
1,13105,12,0
1,28373,8,600
1,0,13,800
